,Link,Name,Spots
71670,/camping/chilkoot/r/facilityDetails.do?contractCode=NRSO&parkId=71670,CHILKOOT,11
120018,/camping/china-camp-sp/r/facilityDetails.do?contractCode=CA&parkId=120018,CHINA CAMP SP,2
124900,/camping/chino-hills-sp/r/facilityDetails.do?contractCode=CA&parkId=124900,CHINO HILLS SP,19
71705,/camping/christie-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71705,CHRISTIE CAMPGROUND,0
120019,/camping/clear-lake-sp/r/facilityDetails.do?contractCode=CA&parkId=120019,CLEAR LAKE SP,125
73062,/camping/codorniz-recreation-area-campground/r/facilityDetails.do?contractCode=NRSO&parkId=73062,Codorniz Recreation Area Campground,80
120020,/camping/col-allensworth-shp/r/facilityDetails.do?contractCode=CA&parkId=120020,COL. ALLENSWORTH SHP,115
71655,/camping/cold-creek/r/facilityDetails.do?contractCode=NRSO&parkId=71655,COLD CREEK,6
75150,/camping/coldwater-campground/r/facilityDetails.do?contractCode=NRSO&parkId=75150,COLDWATER CAMPGROUND,24
71590,/camping/college/r/facilityDetails.do?contractCode=NRSO&parkId=71590,COLLEGE,10
120021,/camping/colusasacramento-river-sra/r/facilityDetails.do?contractCode=CA&parkId=120021,COLUSA-SACRAMENTO RIVER SRA,9
75172,/camping/convict-lake-campground/r/facilityDetails.do?contractCode=NRSO&parkId=75172,CONVICT LAKE CAMPGROUND,2
70250,/camping/coon-creek-group-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70250,COON CREEK GROUP CAMPGROUND,1
71611,/camping/cottonwood-ca/r/facilityDetails.do?contractCode=NRSO&parkId=71611,COTTONWOOD (CA),0
71657,/camping/cottonwood-creek/r/facilityDetails.do?contractCode=NRSO&parkId=71657,COTTONWOOD CREEK,40
75444,/camping/coulter-group-campground/r/facilityDetails.do?contractCode=NRSO&parkId=75444,COULTER GROUP CAMPGROUND,0
70251,/camping/council/r/facilityDetails.do?contractCode=NRSO&parkId=70251,COUNCIL,0
71552,/camping/cove-group/r/facilityDetails.do?contractCode=NRSO&parkId=71552,COVE GROUP,0
71689,/camping/coy-flat/r/facilityDetails.do?contractCode=NRSO&parkId=71689,COY FLAT,18
70252,/camping/coyote-group/r/facilityDetails.do?contractCode=NRSO&parkId=70252,COYOTE GROUP,4
70790,/camping/crab-flats/r/facilityDetails.do?contractCode=NRSO&parkId=70790,CRAB FLATS,23
70758,/camping/crags-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70758,CRAGS CAMPGROUND,0
70930,/camping/crane-flat/r/facilityDetails.do?contractCode=NRSO&parkId=70930,CRANE FLAT,0
71719,/camping/crane-valley/r/facilityDetails.do?contractCode=NRSO&parkId=71719,CRANE VALLEY,0
70147,/camping/crestline-group/r/facilityDetails.do?contractCode=NRSO&parkId=70147,CRESTLINE GROUP,0
123400,/camping/crystal-cove-sp-moro-campground/r/facilityDetails.do?contractCode=CA&parkId=123400,CRYSTAL COVE SP MORO CAMPGROUND,0
120022,/camping/crystal-cove-sp-primitive-tent-camping/r/facilityDetails.do?contractCode=CA&parkId=120022,CRYSTAL COVE SP PRIMITIVE TENT CAMPING,32
70677,/camping/crystal-lake/r/facilityDetails.do?contractCode=NRSO&parkId=70677,CRYSTAL LAKE,0
75266,/camping/curly-jack-campground/r/facilityDetails.do?contractCode=NRSO&parkId=75266,CURLY JACK CAMPGROUND,4
120023,/camping/cuyamaca-rancho-sp/r/facilityDetails.do?contractCode=CA&parkId=120023,CUYAMACA RANCHO SP,30
120099,/camping/dl-bliss-sp/r/facilityDetails.do?contractCode=CA&parkId=120099,D.L. BLISS SP,0
71591,/camping/deer-creek/r/facilityDetails.do?contractCode=NRSO&parkId=71591,DEER CREEK,10
70172,/camping/deer-group-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70172,DEER GROUP CAMP,1
71515,/camping/dekkas-rock/r/facilityDetails.do?contractCode=NRSO&parkId=71515,DEKKAS ROCK,1
120024,/camping/del-norte-coast-redwood-sp-mill-creek-campground/r/facilityDetails.do?contractCode=CA&parkId=120024,Del Norte Coast Redwood SP Mill Creek Campground,76
110003,/camping/del-valle/r/facilityDetails.do?contractCode=EB&parkId=110003,Del Valle,5
75427,/camping/diablo/r/facilityDetails.do?contractCode=NRSO&parkId=75427,DIABLO,15
96770,/camping/dillon-creek-campground/r/facilityDetails.do?contractCode=NRSO&parkId=96770,DILLON CREEK CAMPGROUND,10
73632,/camping/dimond-o/r/facilityDetails.do?contractCode=NRSO&parkId=73632,DIMOND O,5
70376,/camping/dinkey-creek/r/facilityDetails.do?contractCode=NRSO&parkId=70376,DINKEY CREEK,87
73747,/camping/dirt-flat/r/facilityDetails.do?contractCode=NRSO&parkId=73747,DIRT FLAT,0
70258,/camping/dogwood/r/facilityDetails.do?contractCode=NRSO&parkId=70258,DOGWOOD,15
120025,/camping/doheny-sb/r/facilityDetails.do?contractCode=CA&parkId=120025,DOHENY SB,0
120029,/camping/donner-memorial-sp/r/facilityDetails.do?contractCode=CA&parkId=120029,DONNER MEMORIAL SP,0
71601,/camping/dorabelle-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71601,DORABELLE CAMPGROUND,55
70940,/camping/dorst-creek-campgroundsequoia-and-kings-canyon-national-park/r/facilityDetails.do?contractCode=NRSO&parkId=70940,Dorst Creek Campground-Sequoia and Kings Canyon National Park,0
107633,/camping/dripping-springs-campground-ca/r/facilityDetails.do?contractCode=NRSO&parkId=107633,DRIPPING SPRINGS CAMPGROUND (CA),14
73750,/camping/dry-gulch/r/facilityDetails.do?contractCode=NRSO&parkId=73750,DRY GULCH,0
70529,/camping/eagle-campground/r/facilityDetails.do?contractCode=NRSO&parkId=70529,EAGLE CAMPGROUND,0
70804,/camping/east-fork-california/r/facilityDetails.do?contractCode=NRSO&parkId=70804,EAST FORK CALIFORNIA,34
71529,/camping/east-meadow-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71529,EAST MEADOW CAMPGROUND,30
120030,/camping/el-capitan-sb/r/facilityDetails.do?contractCode=CA&parkId=120030,EL CAPITAN SB,0
70148,/camping/el-prado-group/r/facilityDetails.do?contractCode=NRSO&parkId=70148,EL PRADO GROUP,0
71522,/camping/ellery-creek/r/facilityDetails.do?contractCode=NRSO&parkId=71522,ELLERY CREEK,12
120031,/camping/emerald-bay-sp/r/facilityDetails.do?contractCode=CA&parkId=120031,EMERALD BAY SP,0
71645,/camping/emigrant-group/r/facilityDetails.do?contractCode=NRSO&parkId=71645,EMIGRANT GROUP,0
72398,/camping/eshom-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72398,ESHOM CAMPGROUND,16
71678,/camping/fairview-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71678,FAIRVIEW CAMPGROUND,13
70144,/camping/falcon-group/r/facilityDetails.do?contractCode=NRSO&parkId=70144,FALCON GROUP,0
71531,/camping/fallen-leaf-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71531,FALLEN LEAF CAMPGROUND,0
74162,/camping/fashoda/r/facilityDetails.do?contractCode=NRSO&parkId=74162,FASHODA,0
70410,/camping/faucherie/r/facilityDetails.do?contractCode=NRSO&parkId=70410,FAUCHERIE,0
70752,/camping/fawn/r/facilityDetails.do?contractCode=NRSO&parkId=70752,FAWN,2
70173,/camping/fern-basin/r/facilityDetails.do?contractCode=NRSO&parkId=70173,FERN BASIN,11
75432,/camping/fiddle-creek/r/facilityDetails.do?contractCode=NRSO&parkId=75432,FIDDLE CREEK,9
71518,/camping/findley-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71518,FINDLEY CAMPGROUND,11
72124,/camping/fir-cove-campground/r/facilityDetails.do?contractCode=NRSO&parkId=72124,FIR COVE CAMPGROUND,8
71553,/camping/fir-group/r/facilityDetails.do?contractCode=NRSO&parkId=71553,FIR GROUP,1
71517,/camping/fir-top-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71517,FIR TOP CAMPGROUND,10
71600,/camping/fish-creek-ca/r/facilityDetails.do?contractCode=NRSO&parkId=71600,FISH CREEK (CA),0
96769,/camping/fish-lake-campground/r/facilityDetails.do?contractCode=NRSO&parkId=96769,FISH LAKE CAMPGROUND,12
73950,/camping/fishermans-group/r/facilityDetails.do?contractCode=NRSO&parkId=73950,FISHERMANS GROUP,2
120034,/camping/folsom-lake-sra/r/facilityDetails.do?contractCode=CA&parkId=120034,FOLSOM LAKE SRA,41
70266,/camping/forbes-creek/r/facilityDetails.do?contractCode=NRSO&parkId=70266,FORBES CREEK,0
71666,/camping/forks-campground/r/facilityDetails.do?contractCode=NRSO&parkId=71666,FORKS CAMPGROUND,22
73703,/camping/four-jeffrey/r/facilityDetails.do?contractCode=NRSO&parkId=73703,FOUR JEFFREY,0
1040013,/camping/frank-raines-regional-park/r/facilityDetails.do?contractCode=STAN&parkId=1040013,FRANK RAINES REGIONAL PARK,29
74120,/camping/fremont-campground/r/facilityDetails.do?contractCode=NRSO&parkId=74120,FREMONT CAMPGROUND,10
120209,/camping/fremont-peak-sp/r/facilityDetails.do?contractCode=CA&parkId=120209,FREMONT PEAK SP,10
70803,/camping/french-camp/r/facilityDetails.do?contractCode=NRSO&parkId=70803,FRENCH CAMP,42
71559,/camping/french-gulch/r/facilityDetails.do?contractCode=NRSO&parkId=71559,FRENCH GULCH,1
